entry,kegg,comp,name,chebi,uncharged_formula,formula,charge,external
C05747_[cyt],C05747,cyt,(R)-3-Hydroxyhexanoyl-[acp],-,C6H11O2SR,-,-,False
C05748_[cyt],C05748,cyt,trans-Hex-2-enoyl-[acp],-,C6H9OSR,-,-,False
C05749_[cyt],C05749,cyt,Hexanoyl-[acp],-,C6H11OSR,-,-,False
C05750_[cyt],C05750,cyt,3-Oxooctanoyl-[acp],-,C8H13O2SR,-,-,False
C05751_[cyt],C05751,cyt,trans-Oct-2-enoyl-[acp],-,C8H13OSR,-,-,False
C05752_[cyt],C05752,cyt,Octanoyl-[acp],7725,C8H15OSR,C8H15ORS,0,False
C05753_[cyt],C05753,cyt,3-Oxodecanoyl-[acp],-,C10H17O2SR,-,-,False
C05754_[cyt],C05754,cyt,trans-Dec-2-enoyl-[acp],-,C10H17OSR,-,-,False
C05755_[cyt],C05755,cyt,Decanoyl-[acp],4349,C10H19OSR,C10H19ORS,0,False
C05756_[cyt],C05756,cyt,3-Oxododecanoyl-[acp],-,C12H21O2SR,-,-,False
C05757_[cyt],C05757,cyt,(R)-3-Hydroxydodecanoyl-[acp],-,C12H23O2SR,-,-,False
C05758_[cyt],C05758,cyt,trans-Dodec-2-enoyl-[acp],-,C12H21OSR,-,-,False
C05759_[cyt],C05759,cyt,3-Oxotetradecanoyl-[acp],-,C14H25O2SR,-,-,False
C05760_[cyt],C05760,cyt,trans-Tetradec-2-enoyl-[acp],-,C14H25OSR,-,-,False
C05761_[cyt],C05761,cyt,Tetradecanoyl-[acp],50651,C14H27OSR,C14H27ORS,0,False
C05762_[cyt],C05762,cyt,3-Oxohexadecanoyl-[acp],1639,C16H29O2SR,C16H29O2RS,0,False
C05763_[cyt],C05763,cyt,trans-Hexadec-2-enoyl-[acp],-,C16H29OSR,-,-,False
C05764_[cyt],C05764,cyt,(9Z)-Hexadecanoyl-[acp],5697,C16H31OSR,C16H31ORS,0,False
C05772_[cyt],C05772,cyt,Precorrin 3A,28307,C43H50N4O16,C43H43N4O16,-7,False
C05775_[cyt],C05775,cyt,alpha-Ribazole,10329,C14H18N2O4,C14H18N2O4,0,False
C05817_[cyt],C05817,cyt,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",39564,C11H12O6,C11H10O6,-2,False
C05840_[cyt],C05840,cyt,Iminoaspartate,50616,C4H5NO4,C4H3NO4,-2,False
